,ISBN,책 제목,도서 장르,저자,평점,판매가격,발행일
15,791169792035 ,스즈메의 문단속 (양장)(신카이 마코토 하드커버 시리즈),국내도서,신카이마코토,/,"13,050원",2023년 02월 27일
16,791191891287 ,메리골드 마음 세탁소,국내도서,윤정은,/,"13,500원",2023년 03월 06일
17,788934944546 ,흔한남매 과학 탐험대7-생물1,국내도서,"흔한남매,김언정,이현진",/,"12,600원",2023년 03월 15일
18,791170621270 ,타키 포오의 이세계 여행사 2 - 캐릭온TV 창작 어드벤처 만화,국내도서,"캐릭온TV(원작),스튜디오왓츠비",/,"11,700원",2023년 04월 25일
19,788956608556 ,구의 증명(은행나무 노벨라 7),국내도서,최진영,/,"7,200원",2015년 03월 30일
20,788954691741 ,젊은작가상 수상작품집 2023(제14회),국내도서,"이미상,김멜라,성혜령,이서수,정선임,함윤이",/,"6,930원",2023년 04월 05일
2023년 6월,,,,,,,
1,791168473690 ,세이노의 가르침,국내도서,세이노(SayNo),/,"6,480원",2023년 03월 02일
2,791168415232 ,흔한남매 13,국내도서,"흔한남매,백난도",/,"13,050원",2023년 04월 25일
3,791168415409 ,흔한남매의 흔한 호기심 9,국내도서,"흔한남매,안치현",/,"12,600원",2023년 06월 08일
4,788997575169 ,원씽(THE ONE THING)(리커버 특별판),국내도서,"게리켈러,제이파파산",/,"12,600원",2017년 10월 25일
5,788901272580 ,역행자 확장판 - 돈 시간 운명으로부터 완전한 자유를 얻는 7단계 인생 공략집,국내도서,자청,/,"17,550원",2023년 05월 29일
6,791192579504 ,바다가 들리는 편의점,국내도서,마치다 소노코,/,"14,400원",2023년 03월 24일
7,791192504230 ,백앤아 2 - 달콤바삭 요정 과자집,국내도서,"백앤아(원작),주눅",/,"13,500원",2023년 05월 17일
8,791197647666 ,기분이 태도가 되지 말자,국내도서,김수현,/,"14,400원",2022년 11월 25일
